Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
20758104,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,"=""0763676187""","=""9780763676186""",0,3.97,Candlewick Press,Paperback,512,2014,2008,,2019/07/28,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
22429350,"The Start of Me and You (The Start of Me and You, #1)",Emery Lord,"Lord, Emery",,"=""1619633590""","=""9781619633599""",0,4.10,Bloomsbury,Hardcover,376,2015,2015,,2019/07/04,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.23,Tor Books,Kindle Edition,366,2013,2013,,2019/07/03,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""0765376458""","=""9780765376459""",0,4.07,Tor Books,Hardcover,400,2015,2015,,2019/07/03,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
34930815,"Wires and Nerve, Volume 2: Gone Rogue (Wires and Nerve, #2)",Marissa Meyer,"Meyer, Marissa","Stephen Gilpin, Douglas Holgate","=""1250078288""","=""9781250078285""",0,4.23,Feiwel  Friends,Hardcover,324,2018,2018,,2019/06/24,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
38237340,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310352""","=""9780316310352""",0,4.34,"Little, Brown Books for Young Readers",Hardcover,322,2019,2019,,2019/06/24,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
37435,The Secret Life of Bees,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0142001740""","=""9780142001745""",0,4.07,Penguin Books,Paperback,302,2003,2001,,2019/06/21,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.98,Simon & Schuster,Kindle Edition,194,2011,1953,,2019/06/14,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.30,Tor,Mass Market Paperback,324,2004,1985,,2019/06/14,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
923950,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,"Aron, Elaine N.",,"=""0553062182""","=""9780553062182""",0,3.88,Harmony,Paperback,251,1997,1996,,2019/06/14,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
23215490,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"Morin, Amy",,"=""0062391542""","=""9780062391544""",0,3.91,William Morrow,Hardcover,272,2014,2014,,2019/06/14,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
30631112,Death in the Library (A Murder in Milburn #3),Nancy McGovern,"McGovern, Nancy",,"=""""","=""""",0,3.95,McGovern Books,Kindle Edition,176,2016,,,2019/06/14,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
27774758,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,"Tahir, Sabaa",,"=""""","=""""",0,4.26,Razorbill,Paperback,446,2016,2015,,2019/06/12,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
31578441,Just Friends,Ella Price,"Price, Ella",,"=""""","=""9781370503285""",0,4.08,Ella Price,ebook,,2016,2014,,2019/05/12,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
28763485,The Sun Is Also a Star,Nicola Yoon,"Yoon, Nicola",,"=""0553496689""","=""9780553496680""",3,4.02,Delacorte Press,Hardcover,384,2016,2016,,2019/04/23,,,read,,,,1,,,0,,,,,
29363501,"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)",J.K. Rowling,"Rowling, J.K.",,"=""1338109065""","=""9781338109061""",5,4.20,Arthur A. Levine Books,Hardcover,280,2016,2016,,2019/01/01,,,read,,,,1,,,0,,,,,
25689074,"Stars Above (The Lunar Chronicles, #4.5)",Marissa Meyer,"Meyer, Marissa",,"=""1250091845""","=""9781250091840""",0,4.18,Feiwel & Friends,Hardcover,400,2016,2016,,2019/01/01,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
16075962,"The Queen's Army (The Lunar Chronicles, #1.5)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",0,3.97,Wattpad,ebook,23,2012,2012,,2019/01/01,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
19208103,"The Little Android (The Lunar Chronicles, #0.6)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",0,3.92,Wattpad,ebook,35,2014,2014,,2019/01/01,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
23245593,Fierce Reads: Kisses and Curses,Lauren Burniac,"Burniac, Lauren","Ann Aguirre, Lish McBride, Marissa Meyer, Caragh M. O'Brien, Marie Rutkoski, Gennifer Albin, Anna Banks, Leigh Bardugo, Jessica Brody, Katie Finn, Nikki Kelly, Emmy Laybourne, Jennifer Mathieu, Lindsay  Smith","=""1250060532""","=""9781250060532""",0,3.27,Square Fish,Paperback,390,2015,2015,,2019/01/01,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
13254289,"Glitches (The Lunar Chronicles, #0.5)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",0,3.98,Tor.com,ebook,32,2011,2011,,2019/01/01,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
30724132,"Geekerella (Once Upon a Con, #1)",Ashley Poston,"Poston, Ashley",,"=""1594749477""","=""9781594749476""",0,3.93,Quirk Books,Hardcover,320,2017,2017,,2018/07/11,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",0,3.92,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2018/07/11,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
6618272,The Siren,Kiera Cass,"Cass, Kiera",,"=""1440154236""","=""9781440154232""",0,3.73,iUniverse.com,Paperback,267,2009,2009,,2018/07/11,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
26074181,"The Crown (The Selection, #5)",Kiera Cass,"Cass, Kiera",,"=""0062392174""","=""9780062392176""",5,3.67,HarperTeen,Hardcover,278,2016,2016,,2018/07/11,,,read,,,,1,,,0,,,,,
22918050,"The Heir (The Selection, #4)",Kiera Cass,"Cass, Kiera",,"=""""","=""""",5,3.69,HarperTeen,Kindle Edition,342,2015,2015,,2018/07/11,,,read,,,,1,,,0,,,,,
18635016,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,"=""0062059998""","=""9780062059994""",5,4.17,HarperTeen,Hardcover,323,2014,2014,,2018/07/11,favorites,favorites (#2),read,,,,1,,,0,,,,,
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",5,3.98,HarperTeen,Hardcover,336,2013,2013,,2018/07/11,,,read,,,,1,,,0,,,,,
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",5,4.10,HarperTeen,Hardcover,336,2012,2012,,2018/07/11,favorites,favorites (#1),read,,,,1,,,0,,,,,
24465724,"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 2.6, 3.3)",Kiera Cass,"Cass, Kiera",Sandra Suy,"=""0008143676""","=""9780062414090""",5,4.10,HarperTeen,ebook,416,2015,2015,,2018/07/11,,,read,,,,1,,,0,,,,,
18692431,"Everything, Everything",Nicola Yoon,"Yoon, Nicola",David  Yoon,"=""0553496646""","=""9780553496642""",4,4.01,Delacorte Books for Young Readers,Hardcover,306,2015,2015,,2018/07/11,,,read,,,,1,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,"=""0670026603""","=""9780670026609""",1,4.26,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,2018/07/11,,,read,,,,1,,,0,,,,,
8492825,"Where She Went (If I Stay, #2)",Gayle Forman,"Forman, Gayle",,"=""0525422943""","=""9780525422945""",3,4.00,Dutton Juvenile,Hardcover,264,2011,2011,,2018/07/11,,,read,,,,1,,,0,,,,,
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,"=""0525421033""","=""9780525421030""",5,3.93,Viking,Hardcover,201,2009,2009,,2018/07/11,,,read,,,,1,,,0,,,,,
183660,Fairest,Gail Carson Levine,"Levine, Gail Carson",,"=""0060734086""","=""9780060734084""",5,3.88,HarperCollins,Hardcover,326,2006,2006,,2018/07/11,,,read,,,,1,,,0,,,,,
30117284,"Carve the Mark (Carve the Mark, #1)",Veronica Roth,"Roth, Veronica",,"=""0062348639""","=""9780062348630""",0,3.78,Katherine Tegen Books,Hardcover,468,2017,2017,2018/07/11,2018/07/11,currently-reading,currently-reading (#1),currently-reading,,,,3,,,0,,,,,
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",0,4.14,Children's Classics,Hardcover,331,1998,1910,,2018/07/11,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis",Martha,"=""""","=""""",5,3.99,Public Domain Books,Kindle Edition,96,1997,1865,,2018/07/11,,,read,,,,1,,,0,,,,,
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Constance Garnett, Aylmer Maude, Louise Maude, Dmitriy Butko, Lev Tolstoj, George Gibian","=""""","=""""",0,4.07,Vintage,Paperback,964,2012,1878,,2018/07/11,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
2156,Persuasion,Jane Austen,"Austen, Jane","Deidre Shauna Lynch, James Kinsley","=""0192802631""","=""9780192802637""",0,4.14,Oxford University Press,Paperback,249,2004,1817,,2018/07/11,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
6969,Emma,Jane Austen,"Austen, Jane",,"=""0141439580""","=""9780141439587""",0,4.03,Penguin Books,Paperback,474,2003,1815,,2018/07/11,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
51428,"Rebel Angels (Gemma Doyle, #2)",Libba Bray,"Bray, Libba",,"=""0385733410""","=""9780385733410""",0,3.93,Ember,Paperback,548,2006,2004,,2018/07/11,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.48,Scholastic Inc,Hardcover,309,2003,1997,,2018/07/11,,,read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.16,Dutton Books,Hardcover,313,2012,2012,,2018/07/11,,,read,,,,1,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",5,4.28,Modern Library,Paperback,279,2000,1813,,2018/07/11,,,read,,,,1,,,0,,,,,
