Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.81,Back Bay Books,Paperback,277,2001,1951,,2021/05/11,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
40691730,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1510105247""","=""9781510105249""",5,3.96,Orion Children's Books,Paperback,354,2018,2012,2021/04/29,2020/12/03,,,read,,,,1,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2021/04/23,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
42080479,"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,"Chainani, Soman",Iacopo Bruno,"=""006210490X""","=""9780062104908""",0,4.02,HarperCollins; Reprint edition,Paperback,544,2018,2013,,2021/04/01,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
25362018,"Steel Scars (Red Queen, #0.2)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062422979""","=""9780062422972""",0,3.58,HarperTeen,ebook,100,2016,2016,,2021/04/01,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
25005214,"Queen Song (Red Queen, #0.1)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062422960""","=""9780062422965""",0,3.81,HarperTeen,ebook,100,2015,2015,,2021/04/01,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
25944381,"Cruel Crown (Red Queen, #0.1-0.2)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062435345""","=""9780062435347""",0,3.65,HarperTeen,Paperback,208,2016,2016,,2021/04/01,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
13402202,"Sapphire Blue (Precious Stone Trilogy, #2)",Kerstin Gier,"Gier, Kerstin",Anthea Bell,"=""""","=""""",5,4.17,Henry Holt and Co.,Kindle Edition,368,2012,2010,,2021/04/01,,,read,,,,1,,,0,,,,,
36307674,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1510109188""","=""9781510109186""",0,4.41,Orion Children's Books,Paperback,592,2021,2021,,2021/04/01,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
42965946,Ward of the FBI (School of Necessary Magic: Raine Campbell #1),Judith Berens,"Berens, Judith","Martha Carr, Michael Anderle","=""""","=""""",0,4.08,LMBPN Publishing,Kindle Edition,279,2018,2018,,2021/03/31,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
39897752,Lost in the Never Woods,Aiden Thomas,"Thomas, Aiden",,"=""125031397X""","=""9781250313973""",0,3.71,Swoon Reads,Hardcover,384,2021,2021,,2021/03/20,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
43717362,When We Believed in Mermaids,Barbara O'Neal,"O'Neal, Barbara",,"=""""","=""""",0,4.19,Lake Union Publishing,Kindle Edition,348,2019,2019,,2021/03/13,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
53320739,"The Princess Trials (The Princess Trials, #1)",Cordelia K. Castel,"Castel, Cordelia K.",,"=""""","=""""",0,3.81,,Kindle Edition,504,2020,2020,,2021/03/13,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James","Gunnar Nyquist, Nagalakshmi Shanmugam, Ondřej Halámek, Aleš Drobek","=""""","=""""",0,4.38,Avery,Kindle Edition,319,2018,2018,,2021/03/04,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""""","=""""",0,3.75,Delacorte Press,Kindle Edition,242,2014,2014,,2021/03/04,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
22674105,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,"Kwan, Kevin",,"=""0385539088""","=""9780385539081""",0,3.83,Knopf Doubleday,Hardcover,378,2015,2015,,2021/02/22,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
16085481,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,"=""0385536976""","=""9780385536974""",0,3.88,Doubleday,Hardcover,403,2013,2013,,2021/02/22,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",0,3.61,Vintage,Paperback,259,1992,1962,,2021/01/28,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
43207851,Curses,Lish McBride,"McBride, Lish",,"=""1984815598""","=""9781984815590""",0,3.81,G.P. Putnam's Sons Books for Young Readers,Hardcover,448,2021,2021,,2021/01/28,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
43744300,"American Royals (American Royals, #1)",Katharine McGee,"McGee, Katharine",,"=""1984830171""","=""9781984830173""",0,3.84,Random House Books for Young Readers,Hardcover,441,2019,2019,,2021/01/27,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,"=""0380800829""","=""9780380800827""",0,3.83,Avon Books,Mass Market Paperback,384,2006,2000,,2020/12/21,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
26863057,"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""1101965339""","=""9781101965337""",0,4.23,Del Rey,Hardcover,432,2016,2016,,2020/12/09,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",0,4.62,Tor Books,Hardcover,1230,2020,2020,,2020/12/09,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",0,4.48,Bloomsbury Publishing,Hardcover,803,2020,2020,,2020/12/09,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.05,Viking,Hardcover,304,2020,2020,,2020/12/09,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.46,Tor Books,Hardcover,541,2006,2006,,2020/12/09,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
53174067,"Skyhunter (Skyhunter, #1)",Marie Lu,"Lu, Marie",,"=""1250221684""","=""9781250221681""",0,4.08,Roaring Brook Press,Hardcover,371,2020,2020,,2020/12/03,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
13047567,Chaos Walking: A Trilogy (Chaos Walking #1-3),Patrick Ness,"Ness, Patrick",,"=""1406334332""","=""9781406334333""",0,4.47,Walker,Paperback,,2010,2010,,2020/11/19,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
40599772,"The Other Side of the Sky (The Other Side of the Sky, #1)",Amie Kaufman,"Kaufman, Amie",Meagan Spooner,"=""""","=""""",0,3.90,HarperTeen,Kindle Edition,432,2020,2020,,2020/09/27,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
52781202,Star Daughter,Shveta Thakrar,"Thakrar, Shveta",,"=""0062894625""","=""9780062894625""",0,3.33,HarperTeen,Hardcover,435,2020,2020,,2020/09/07,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
48739513,Where the Stars Meet the Sea,Heidi Kimball,"Kimball, Heidi",,"=""""","=""9781524410414""",0,4.20,Covenant Communications ,Paperback,256,2020,2020,,2020/09/07,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
41843399,Sweet Land of Liberty: Old Times in the Colonies,Charles Carleton Coffin,"Coffin, Charles Carleton",,"=""""","=""""",0,4.06,Johnsonian Publications,Kindle Edition,360,2018,1993,,2020/05/17,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
285459,The Story of Liberty,Charles Carleton Coffin,"Coffin, Charles Carleton",,"=""093855820X""","=""9780938558200""",0,4.14,Maranatha Publications,Paperback,415,1987,1987,,2020/05/17,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
10429045,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085484""","=""9780062085481""",0,3.92,Harper,Hardcover,338,2011,2011,,2020/05/13,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
40886114,Queen's Shadow (Star Wars),E.K. Johnston,"Johnston, E.K.",,"=""""","=""""",0,3.82,Disney Lucasfilm Press,Paperback,400,2019,2019,,2020/05/10,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.82,Scholastic Press,Kindle Edition,541,2020,2020,,2020/05/06,"to-read, really-want-to-read","to-read (#52), really-want-to-read (#5)",to-read,,,,0,,,0,,,,,
27188596,"War Storm (Red Queen, #4)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062422995""","=""9780062422996""",4,3.86,HarperTeen,Hardcover,662,2018,2018,2020/05/06,2019/06/14,,,read,,,,1,,,0,,,,,
10429092,"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,"Carson, Rae",,"=""0062026488""","=""9780062026484""",0,3.79,Greenwillow,Hardcover,423,2011,2011,,2020/04/20,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",5,4.04,HarperTeen,Hardcover,388,2015,2015,2019/06/14,2018/07/11,favorites,favorites (#4),read,,,,1,,,0,,,,,
42083967,"Broken Throne (Red Queen, #4.5)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.94,Orion,Kindle Edition,400,2019,2019,,2020/04/10,"to-read, really-want-to-read","to-read (#50), really-want-to-read (#4)",to-read,,,,0,,,0,,,,,
