"ASIN","GROUP","FORMAT"
"009098210X","book","hardcover"
"1932771174","book","hardcover"
"188606931X","book","hardcover"
"0571215394","book","hardcover"
"0709060114","book","hardcover"
"0810825244","book","hardcover"
"1440167052","book","hardcover"
"0525478817","book","hardcover"
"1588904539","book","hardcover"
"0803607601","book","hardcover"
"3540790497","book","hardcover"
"185070595X","book","hardcover"
"0387075550","book","hardcover"
"0070511136","book","hardcover"
"0811874559","book","hardcover"
"0811877825","book","hardcover"
"0241145007","book","hardcover"
"1583334386","book","hardcover"
"1594743304","book","hardcover"
"159474520X","book","hardcover"
"0805063056","book","hardcover"
"0002247399","book","hardcover"
"0470442204","book","hardcover"
"1889439371","book","hardcover"
"0321558235","book","hardcover"
"085720145X","book","hardcover"
"0262033844","book","hardcover"
"0471675822","book","hardcover"
"0545296706","book","hardcover"
"0385531273","book","hardcover"
"3540653678","book","hardcover"
"3642127614","book","hardcover"
"0201558025","book","hardcover"
"B001JQC4DK","book","hardcover"
"1903353092","book","hardcover"
"B000UBSG0A","book","hardcover"
"B000V1O4GY","book","hardcover"
"1561708100","book","hardcover"
"8497644166","book","hardcover"
"0969135424","book","hardcover"
"B0007DVZS6","book","hardcover"
"B001ON27Z8","book","hardcover"
"B0007J8NJE","book","hardcover"
"1443732540","book","hardcover"
"B000WAYRYI","book","hardcover"
"0752900269","book","hardcover"
"B000IRZ1J0","book","hardcover"
"1595620257","book","hardcover"
"1579622143","book","hardcover"
"0385737866","book","hardcover"
"1118143302","book","hardcover"
"0521195276","book","hardcover"
"3401063340","book","hardcover"
"1616144297","book","hardcover"
"160684170X","book","hardcover"
"0230115217","book","hardcover"
"0762763744","book","hardcover"
"0670022969","book","hardcover"
"3540927832","book","hardcover"
"0689867409","book","hardcover"
"0395653770","book","hardcover"
"0395811333","book","hardcover"
"1572270640","book","hardcover"
"0684194457","book","hardcover"
"0689040342","book","hardcover"
"0375867643","book","hardcover"
"193546048X","book","hardcover"
"0230620531","book","hardcover"
"0517189305","book","hardcover"
"0394815424","book","hardcover"
"0394810090","book","hardcover"
"0763655988","book","hardcover"
"0312377290","book","hardcover"
"0762444622","book","hardcover"
"0313354510","book","hardcover"
"1596982772","book","hardcover"
"0077289315","book","hardcover"
"0805093079","book","hardcover"
"1451648537","book","hardcover"
"0857287966","book","hardcover"
"0470582464","book","hardcover"
"0470631473","book","hardcover"
"0321629116","book","hardcover"
"0226066347","book","hardcover"
"0073529281","book","hardcover"
"0132080230","book","hardcover"
"1591451884","book","hardcover"
"1449010202","book","hardcover"
"0394800184","book","hardcover"
"0394800516","book","hardcover"
"0394800060","book","hardcover"
"0394800230","book","hardcover"
"039925675X","book","hardcover"
"0226066258","book","hardcover"
"1439157189","book","hardcover"
"1550541153","book","hardcover"
"0375822976","book","hardcover"
"0226430367","book","hardcover"
"0307593312","book","hardcover"
"0385608616","book","hardcover"
"0810997495","book","hardcover"
"1400068037","book","hardcover"
"039308017X","book","hardcover"
"1599908360","book","hardcover"
"1423157532","book","hardcover"
"1905177291","book","hardcover"
"1419702238","book","hardcover"
"039307966X","book","hardcover"
"037550771X","book","hardcover"
"0226104206","book","hardcover"
"0547385579","book","hardcover"
"0765322188","book","hardcover"
"085733056X","book","hardcover"
"0793805678","book","hardcover"
"1906447004","book","hardcover"
"0136042597","book","hardcover"
"080909536X","book","hardcover"
"0195114825","book","hardcover"
"B0041T4S1S","book","hardcover"
"0593046412","book","hardcover"
"0060175966","book","hardcover"
"0262015897","book","hardcover"
"3421044309","book","hardcover"
"193473053X","book","hardcover"
"1420082604","book","hardcover"
"0955912199","book","hardcover"
"B00087K8YI","book","hardcover"
"0131599887","book","hardcover"
"146707635X","book","hardcover"
"0745940668","book","hardcover"
"0521198291","book","hardcover"
"0307887898","book","hardcover"
"0547577559","book","hardcover"
"0375865314","book","hardcover"
"0394800257","book","hardcover"
"0802720927","book","hardcover"
"141042958X","book","hardcover"
"1410429539","book","hardcover"
"1410434567","book","hardcover"
"1459701682","book","hardcover"
"0385608608","book","hardcover"
"0226066266","book","hardcover"
"140276748X","book","hardcover"
"0470403802","book","hardcover"
"1565124014","book","hardcover"
"1426209339","book","hardcover"
"3832794719","book","hardcover"
"0470669438","book","hardcover"
"0199792054","book","hardcover"
"030016274X","book","hardcover"
"1118141016","book","hardcover"
"0765330423","book","hardcover"
"0801891442","book","hardcover"
"0727881345","book","hardcover"
"0978998081","book","hardcover"
"0470666285","book","hardcover"
"3866480997","book","hardcover"
"1608321452","book","hardcover"
"1444335715","book","hardcover"
"1423143388","book","hardcover"
"193359604X","book","hardcover"
"0393035158","book","hardcover"
"0674061578","book","hardcover"
"0062082353","book","hardcover"
"1410443809","book","hardcover"
"0773538194","book","hardcover"
"0078111005","book","hardcover"
"1432825712","book","hardcover"
"0394826922","book","hardcover"
"0500516146","book","hardcover"
"1592406920","book","hardcover"
"1612510779","book","hardcover"
"1595620036","book","hardcover"
"070909096X","book","hardcover"
"1846243432","book","hardcover"
"0307352145","book","hardcover"
"0792390237","book","hardcover"
"0321500245","book","hardcover"
"1429272724","book","hardcover"
"0393063356","book","hardcover"
